H: S: $COV:sex
1111110 1 male
1111000 1 male
1100000 1 male
1100000 1 male
1100000 1 male
1100000 1 male
1010000 1 male
1000000 1 male
1000000 1 male
1000000 1 male
1000000 1 male
1000000 1 male
0111100 1 male
0111000 1 male
0110000 1 male
0110000 1 male
0110000 1 male
0110000 1 male
0110000 1 male
0110000 1 male
0110000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0100000 1 male
0011110 1 male
0011100 1 male
0011100 1 male
0011100 1 male
0011100 1 male
0011000 1 male
0011000 1 male
0011000 1 male
0011000 1 male
0011000 1 male
0011000 1 male
0011000 1 male
0011000 1 male
0010110 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0010000 1 male
0001111 1 male
0001111 1 male
0001111 1 male
0001111 1 male
0001111 1 male
0001111 1 male
0001110 1 male
0001110 1 male
0001110 1 male
0001100 1 male
0001100 1 male
0001100 1 male
0001100 1 male
0001100 1 male
0001100 1 male
0001001 1 male
0001000 1 male
0001000 1 male
0001000 1 male
0001000 1 male
0001000 1 male
0001000 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000111 1 male
0000110 1 male
0000110 1 male
0000110 1 male
0000100 1 male
0000100 1 male
0000100 1 male
0000100 1 male
0000100 1 male
0000100 1 male
0000100 1 male
0000100 1 male
0000100 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000011 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000010 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
0000001 1 male
1111100 1 female
1111000 1 female
1101110 1 female
1100000 1 female
1100000 1 female
1010000 1 female
1000000 1 female
1000000 1 female
1000000 1 female
1000000 1 female
0111111 1 female
0111111 1 female
0111110 1 female
0111100 1 female
0111100 1 female
0111000 1 female
0110110 1 female
0110000 1 female
0110000 1 female
0110000 1 female
0110000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0100000 1 female
0011111 1 female
0011111 1 female
0011110 1 female
0011100 1 female
0011100 1 female
0011000 1 female
0011000 1 female
0011000 1 female
0011000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0010000 1 female
0001111 1 female
0001111 1 female
0001110 1 female
0001110 1 female
0001110 1 female
0001110 1 female
0001100 1 female
0001100 1 female
0001100 1 female
0001100 1 female
0001100 1 female
0001011 1 female
0001001 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0001000 1 female
0000111 1 female
0000111 1 female
0000111 1 female
0000111 1 female
0000111 1 female
0000111 1 female
0000110 1 female
0000110 1 female
0000110 1 female
0000110 1 female
0000110 1 female
0000110 1 female
0000100 1 female
0000100 1 female
0000100 1 female
0000100 1 female
0000100 1 female
0000100 1 female
0000100 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000011 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000010 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
0000001 1 female
